IncidentNumber,DateOfCall,CalYear,HourOfCall,IncGeo_BoroughName,Easting_rounded,Northing_rounded,AttendanceTime,DeployedFromStation,lat_cal,long_cal,lat_cal_r,long_cal_r,stat,lat,long,bor_sqkm,pop_per_stat,distance_stat,distance,AttendanceTimeClasses3
038967-19032023,2023-03-19,2023,14,BARNET,521250,193850,416.0,Mill Hill,51.63053528027556,-0.2491894477017163,51.6304062879301,-0.24958453618004894,Mill Hill,51.61522,-0.24342,86.74,97160.0,14457.554325991356,1750.7278056097293,6-9min
108007-19072023,2023-07-19,2023,10,WESTMINSTER,527250,182250,498.0,Paddington,inf,inf,51.52483649586213,-0.16714241498588542,Paddington,51.5202041,-0.183022,21.48,102544.0,4109.333901321731,1216.69573940418,6-9min
133862-02092023,2023-09-02,2023,10,HAMMERSMITH AND FULHAM,525650,175650,295.0,Fulham,inf,inf,51.46588028448883,-0.19254100158171772,Fulham,51.4779579,-0.2010297,16.4,91648.0,6044.457462088725,1467.474315083683,3-6min
056533-24042023,2023-04-24,2023,8,CROYDON,531850,165250,425.0,Croydon,inf,inf,51.37100978003191,-0.1072023333964102,Croydon,51.36904316,-0.10502934,86.52,78101.0,15455.437048077774,266.0275515381087,6-9min
115770-01082023,2023-08-01,2023,19,WESTMINSTER,529250,180950,246.0,Soho,51.51300955872029,-0.13847622209911703,51.5127000528871,-0.1388059004068471,Soho,51.512614,-0.1319784,21.48,102544.0,677.7434404956789,451.50144001835315,3-6min
073337-25052023,2023-05-25,2023,13,GREENWICH,540550,178450,42.0,East Greenwich,51.48751377458952,0.022891072571153966,51.48753998726572,0.022935445522754033,East Greenwich,51.48690404,0.02230543,47.35,57851.0,10620.047076587329,80.26324561752422,0-3min
055974-22042023,2023-04-22,2023,23,CAMDEN,529250,182150,214.0,Soho,51.52332506109719,-0.13854569138357054,51.5234840778135,-0.1383662234117405,Soho,51.512614,-0.1319784,21.48,102544.0,677.7434404956789,1275.4563574720962,3-6min
120055-09082023,2023-08-09,2023,16,HOUNSLOW,510950,176750,398.0,Heston,51.47869572976435,-0.40391431078699774,51.47883699089682,-0.40372217036281244,Heston,51.47492,-0.3431,55.99,95980.0,15360.683212352244,4244.284971617642,6-9min
102003-09072023,2023-07-09,2023,9,SOUTHWARK,532150,179650,297.0,Dowgate,inf,inf,51.5003473900185,-0.09752598152142167,Dowgate,51.510003,-0.090206,2.9,8618.0,2602.1246575935143,1188.4254893176742,3-6min
084144-11062023,2023-06-11,2023,15,WESTMINSTER,529850,181150,140.0,Soho,51.51412929898318,-0.1297255277706421,51.514359935993404,-0.1300908035119737,Soho,51.512614,-0.1319784,21.48,102544.0,677.7434404956789,232.17395359407928,0-3min
132483-30082023,2023-08-30,2023,21,HILLINGDON,506950,179550,322.0,Hayes,51.5048141173756,-0.4607959583601895,51.504773628190506,-0.46045151075283175,Hayes,51.49459,-0.43159,115.7,76198.0,21111.019149492327,2323.953352319541,3-6min
070350-19052023,2023-05-19,2023,22,HOUNSLOW,513850,175850,190.0,Heston,51.470104179339344,-0.36189836532656033,51.47017232061842,-0.3622702747070261,Heston,51.47492,-0.3431,55.99,95980.0,15360.683212352244,1409.892955270062,3-6min
098743-03072023,2023-07-03,2023,23,BARNET,526650,191250,266.0,Finchley,51.605624801170926,-0.17236777717988502,51.60585239039751,-0.17254637478353085,Finchley,51.59798,-0.1791,86.74,97160.0,10717.41137555264,971.5222272417923,3-6min
100259-06072023,2023-07-06,2023,17,HARROW,518150,190650,142.0,Stanmore,inf,inf,51.602305810370304,-0.29542932042543146,Stanmore,51.60376,-0.29748,50.47,130494.0,15941.767603186485,215.32149523089302,0-3min
023212-15022023,2023-02-15,2023,16,EALING,515850,182450,479.0,Southall,51.529168253009495,-0.33146498024487764,51.5290853150911,-0.3313238451983155,Southall,51.51144,-0.37448,55.53,91532.0,17114.811924824804,3580.3726022067412,6-9min
166433-25102023,2023-10-25,2023,0,WALTHAM FOREST,537650,188950,413.0,Walthamstow,inf,inf,51.5826058853668,-0.014704366154575377,Walthamstow,51.58989,-0.027524,38.82,69512.0,11517.934541641036,1202.6057749508066,6-9min
027926-25022023,2023-02-25,2023,9,KENSINGTON AND CHELSEA,527850,179550,325.0,Chelsea,51.500132382992795,-0.1601373383098705,51.500436754862704,-0.15947672225631354,Chelsea,51.4871072,-0.1728153,12.13,47980.0,3854.144421682529,1696.6755356255157,3-6min
