IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpMinutesRounded,Notional Cost (£),NumCalls
038967-19032023,2023-03-19,2023,14:11:51,14,False Alarm,False alarm - Good intent,,Outdoor,Woodland/forest - conifers/softwood ,Open land/water - nearest gazetteer location,NW7 4LL,NW7,200146677,20047640,E09000003,BARNET,Barnet,E05013638,EDGWAREBURY,EDGWAREBURY,521277.0,193865.0,521250,193850,51.6305447441,-0.2491579844,London,Mill Hill,416.0,Mill Hill,,,1.0,1.0,1,60,364,1.0
013803-28012023,2023-01-28,2023,12:51:59,12,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,E14,0,22700775,E09000030,TOWER HAMLETS,Tower Hamlets,E05009318,BLACKWALL & CUBITT TOWN,BLACKWALL & CUBITT TOWN,,,538350,179450,,,London,Millwall,,,,,1.0,1.0,1,60,364,1.0
108007-19072023,2023-07-19,2023,10:28:50,10,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,NW8,0,8401065,E09000033,WESTMINSTER,Westminster,E05013794,CHURCH STREET,CHURCH STREET,,,527250,182250,,,London,Paddington,498.0,Paddington,,,1.0,1.0,1,60,388,2.0
047316-05042023,2023-04-05,2023,15:51:54,15,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,E9,0,20900854,E09000012,HACKNEY,Hackney,E05009376,HOMERTON,HOMERTON,,,535550,184750,,,London,Homerton,,,,,1.0,1.0,1,60,388,2.0
133862-02092023,2023-09-02,2023,10:22:12,10,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,SW6,0,21000641,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013744,PALACE & HURLINGHAM,PALACE & HURLINGHAM,,,525650,175650,,,London,Fulham,295.0,Fulham,,,1.0,1.0,1,60,388,1.0
056533-24042023,2023-04-24,2023,08:36:37,8,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,CR0,0,20501261,E09000008,CROYDON,Croydon,E05011487,WADDON,WADDON,,,531850,165250,,,London,Croydon,425.0,Croydon,425.0,Croydon,4.0,5.0,5,79,511,1.0
115770-01082023,2023-08-01,2023,19:54:29,19,False Alarm,AFA,,Non Residential,Single shop ,Within same building,W1F 9PN,W1F,10033650774,8401616,E09000033,WESTMINSTER,Westminster,E05013808,WEST END,WEST END,529272.0,180985.0,529250,180950,51.5130111,-0.138451,London,Soho,246.0,Soho,,,1.0,1.0,1,60,388,1.0
073337-25052023,2023-05-25,2023,13:01:04,13,Special Service,Special Service,Removal of objects from people,Outdoor,Road surface/pavement ,In street outside gazetteer location,SE7 7AX,SE7,200002802060,20801232,E09000011,GREENWICH,Greenwich,E05014082,GREENWICH PENINSULA,GREENWICH PENINSULA,540547.0,178447.0,540550,178450,51.4875148647,0.0229202551,London,East Greenwich,42.0,East Greenwich,,,1.0,1.0,1,60,388,1.0
055974-22042023,2023-04-22,2023,23:33:34,23,False Alarm,AFA,,Non Residential,TV/film/music/art studio ,Correct incident location,W1T 5EQ,W1T,5028501,20400941,E09000007,CAMDEN,Camden,E05013653,BLOOMSBURY,BLOOMSBURY,529238.0,182132.0,529250,182150,51.5233268,-0.1385202,London,Euston,214.0,Soho,,,1.0,1.0,1,60,388,1.0
120055-09082023,2023-08-09,2023,16:20:49,16,Special Service,Special Service,RTC,Outdoor,Road surface/pavement ,Nearby address - street not listed in gazetteer,TW5 9ST,TW5,100021555180,21500773,E09000018,HOUNSLOW,Hounslow,E05013612,CRANFORD,CRANFORD,510937.0,176734.0,510950,176750,51.4787014821,-0.4038892908,London,Heathrow,398.0,Heston,,,1.0,1.0,1,60,388,1.0
102003-09072023,2023-07-09,2023,09:46:39,9,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,SE1,0,22500552,E09000028,SOUTHWARK,Southwark,E05011095,BOROUGH & BANKSIDE,BOROUGH & BANKSIDE,,,532150,179650,,,London,Dowgate,297.0,Dowgate,,,1.0,1.0,1,60,388,1.0
084144-11062023,2023-06-11,2023,15:30:00,15,Fire,Primary Fire,,Non Residential,Single shop ,Correct incident location,WC2H 0DT,WC2H,10025181912,20401199,E09000033,WESTMINSTER,Westminster,E05013808,WEST END,WEST END,529876.0,181125.0,529850,181150,51.514137,-0.129692,London,Soho,140.0,Soho,,,1.0,1.0,1,60,388,1.0
132483-30082023,2023-08-30,2023,21:42:55,21,Special Service,Special Service,Effecting entry/exit,Non Residential,Underground car park,Within same building,UB7 9GJ,UB7,10090333476,21403368,E09000017,HILLINGDON,Hillingdon,E05013581,WEST DRAYTON,WEST DRAYTON,506926.0,179554.0,506950,179550,51.5048153809,-0.4607723543,London,Hayes,322.0,Hayes,,,1.0,1.0,1,60,388,1.0
